date,ticker,predicted_direction,confidence,actual_direction,regime
2013-12-02T00:00:00.000,REMX,0,0.2416098564863205,0,Normal
2013-12-03T00:00:00.000,REMX,0,0.09177816659212112,0,Normal
2013-12-04T00:00:00.000,REMX,0,0.29914069175720215,0,Normal
2013-12-05T00:00:00.000,REMX,0,0.4597877264022827,0,Normal
2013-12-06T00:00:00.000,REMX,0,0.4730745851993561,0,Normal
2013-12-09T00:00:00.000,REMX,0,0.24257734417915344,0,Normal
2013-12-10T00:00:00.000,REMX,0,0.18008585274219513,0,Normal
2013-12-11T00:00:00.000,REMX,0,0.22434306144714355,0,Normal
2013-12-12T00:00:00.000,REMX,0,0.1408456563949585,1,Normal
2013-12-13T00:00:00.000,REMX,0,0.12798085808753967,1,Normal
2013-12-16T00:00:00.000,REMX,1,0.5425642132759094,1,Normal
2013-12-17T00:00:00.000,REMX,1,0.7610533237457275,1,Normal
2013-12-18T00:00:00.000,REMX,1,0.6751595139503479,1,Normal
2013-12-19T00:00:00.000,REMX,1,0.7350528240203857,1,Normal
2013-12-20T00:00:00.000,REMX,1,0.7189925312995911,1,Normal
2013-12-23T00:00:00.000,REMX,0,0.45127376914024353,1,Normal
2013-12-24T00:00:00.000,REMX,1,0.6634082794189453,1,Normal
2013-12-26T00:00:00.000,REMX,0,0.09062003344297409,0,Normal
2013-12-27T00:00:00.000,REMX,0,0.08368298411369324,0,Normal
2013-12-30T00:00:00.000,REMX,0,0.1049160584807396,0,Normal
2013-12-31T00:00:00.000,REMX,0,0.11391713470220566,0,Normal
2014-01-02T00:00:00.000,REMX,0,0.06532689183950424,0,Normal
2014-01-03T00:00:00.000,REMX,0,0.08364082127809525,0,Normal
2014-01-06T00:00:00.000,REMX,0,0.1884276270866394,0,Normal
2014-01-07T00:00:00.000,REMX,0,0.13132059574127197,0,Normal
2014-01-08T00:00:00.000,REMX,0,0.07161763310432434,0,Normal
2014-01-09T00:00:00.000,REMX,0,0.03933270275592804,0,Normal
2014-01-10T00:00:00.000,REMX,0,0.09135466814041138,1,Normal
2014-01-13T00:00:00.000,REMX,0,0.4750092327594757,1,Normal
2014-01-14T00:00:00.000,REMX,0,0.17700231075286865,1,Normal
2014-01-15T00:00:00.000,REMX,0,0.16828754544258118,1,Normal
2014-01-16T00:00:00.000,REMX,0,0.09279672801494598,1,Normal
2014-01-17T00:00:00.000,REMX,0,0.08151543140411377,0,Normal
2014-01-21T00:00:00.000,REMX,0,0.11208099871873856,0,Normal
2014-01-22T00:00:00.000,REMX,0,0.15310075879096985,0,Normal
2014-01-23T00:00:00.000,REMX,0,0.15326598286628723,0,Normal
2014-01-24T00:00:00.000,REMX,0,0.09091031551361084,1,Normal
2014-01-27T00:00:00.000,REMX,0,0.08905381709337234,1,Normal
2014-01-28T00:00:00.000,REMX,0,0.0544564463198185,1,Normal
2014-01-29T00:00:00.000,REMX,0,0.06251202523708344,1,Normal
2014-01-30T00:00:00.000,REMX,0,0.02819051221013069,1,Normal
2014-01-31T00:00:00.000,REMX,0,0.1400371789932251,1,Normal
2014-02-03T00:00:00.000,REMX,0,0.05070815607905388,1,Normal
2014-02-04T00:00:00.000,REMX,0,0.11749443411827087,1,Normal
2014-02-05T00:00:00.000,REMX,0,0.3820602595806122,1,Normal
2014-02-06T00:00:00.000,REMX,0,0.1997886449098587,1,Normal
2014-02-07T00:00:00.000,REMX,0,0.13890741765499115,0,Normal
2014-02-10T00:00:00.000,REMX,0,0.27140629291534424,0,Normal
2014-02-11T00:00:00.000,REMX,0,0.3711252510547638,0,Normal
2014-02-12T00:00:00.000,REMX,0,0.1530488133430481,0,Normal
2014-02-13T00:00:00.000,REMX,0,0.21126629412174225,0,Normal
2014-02-14T00:00:00.000,REMX,0,0.21243849396705627,0,Normal
2014-02-18T00:00:00.000,REMX,0,0.1898202896118164,0,Normal
2014-02-19T00:00:00.000,REMX,0,0.3353034555912018,0,Normal
