ticker,forecast_date,mean,low_80,high_80,last_close
REMX,2024-12-31T00:00:00.000000,38.79198455810547,37.9337895711263,39.823265075683594,38.65447235107422
REMX,2025-01-01T00:00:00.000000,38.791988372802734,37.78955332438151,39.981923421223954,38.65447235107422
REMX,2025-01-02T00:00:00.000000,39.02997589111328,37.63089370727539,40.41462834676106,38.65447235107422
REMX,2025-01-03T00:00:00.000000,39.31122589111328,37.34242375691732,40.832909901936844,38.65447235107422
REMX,2025-01-06T00:00:00.000000,39.138153076171875,37.169342041015625,41.15022659301758,38.65447235107422
REMX,2025-01-07T00:00:00.000000,39.549217224121094,37.12607192993163,41.467543284098305,38.65447235107422
REMX,2025-01-08T00:00:00.000000,39.76557159423828,36.967413584391274,42.04448318481445,38.65447235107422
REMX,2025-01-09T00:00:00.000000,39.830482482910156,36.69336700439453,42.72238794962565,38.65447235107422
REMX,2025-01-10T00:00:00.000000,39.960289001464844,36.303932189941406,43.14066950480143,38.65447235107422
REMX,2025-01-13T00:00:00.000000,39.830482482910156,36.318355560302734,43.14066950480143,38.65447235107422
REMX,2025-01-14T00:00:00.000000,39.787208557128906,36.27508544921875,43.169516245524086,38.65447235107422
REMX,2025-01-15T00:00:00.000000,39.570858001708984,36.08758036295573,43.183939615885414,38.65447235107422
REMX,2025-01-16T00:00:00.000000,39.44104766845703,35.78468831380208,43.06855138142903,38.65447235107422
REMX,2025-01-17T00:00:00.000000,39.39777374267578,35.669301350911454,42.909893035888665,38.65447235107422
REMX,2025-01-20T00:00:00.000000,39.419403076171875,35.424102783203125,43.02528127034505,38.65447235107422
REMX,2025-01-21T00:00:00.000000,39.181419372558594,35.279867808024086,43.06855138142903,38.65447235107422
REMX,2025-01-22T00:00:00.000000,39.15978240966797,35.30871454874674,42.98200988769531,38.65447235107422
REMX,2025-01-23T00:00:00.000000,38.96506881713867,35.59718449910481,42.41949335734049,38.65447235107422
REMX,2025-01-24T00:00:00.000000,38.8785285949707,35.88565444946289,42.13102340698242,38.65447235107422
REMX,2025-01-27T00:00:00.000000,39.008338928222656,35.842384338378906,41.72716649373372,38.65447235107422
REMX,2025-01-28T00:00:00.000000,38.85689163208008,35.81353759765625,41.525238037109375,38.65447235107422
LIT,2024-12-31T00:00:00.000000,41.494606018066406,40.67954381306966,42.28515625,41.28104019165039
LIT,2025-01-01T00:00:00.000000,41.494606018066406,40.520208994547524,42.41997782389323,41.28104019165039
LIT,2025-01-02T00:00:00.000000,41.476219177246094,40.262821197509766,42.66510899861653,41.28104019165039
LIT,2025-01-03T00:00:00.000000,41.54976272583008,40.23830795288086,42.799930572509766,41.28104019165039
LIT,2025-01-06T00:00:00.000000,41.56814193725586,40.00543340047201,42.799930572509766,41.28104019165039
LIT,2025-01-07T00:00:00.000000,41.12691116333008,39.77255884806315,42.68962097167969,41.28104019165039
LIT,2025-01-08T00:00:00.000000,41.09013748168945,39.31906636555989,42.70187759399414,41.28104019165039
LIT,2025-01-09T00:00:00.000000,40.83275604248047,39.01265207926432,42.68962097167969,41.28104019165039
LIT,2025-01-10T00:00:00.000000,40.648902893066406,38.46110661824544,42.82444381713867,41.28104019165039
LIT,2025-01-13T00:00:00.000000,40.465057373046875,38.15469106038411,42.81218719482422,41.28104019165039
LIT,2025-01-14T00:00:00.000000,40.35474395751953,37.713453928629555,42.9470100402832,41.28104019165039
LIT,2025-01-15T00:00:00.000000,40.57536697387695,37.529605865478516,42.82444381713867,41.28104019165039
LIT,2025-01-16T00:00:00.000000,40.24443817138672,37.34575780232747,42.959266662597656,41.28104019165039
LIT,2025-01-17T00:00:00.000000,40.33635711669922,37.370271046956375,42.959266662597656,41.28104019165039
LIT,2025-01-20T00:00:00.000000,40.46505355834961,37.72571055094401,42.959266662597656,41.28104019165039
LIT,2025-01-21T00:00:00.000000,40.391510009765625,37.59088897705078,42.910240173339844,41.28104019165039
LIT,2025-01-22T00:00:00.000000,40.04220199584961,37.55411911010742,42.959266662597656,41.28104019165039
LIT,2025-01-23T00:00:00.000000,40.281211853027344,37.16190973917643,43.68240483601888,41.28104019165039
LIT,2025-01-24T00:00:00.000000,40.29958724975586,37.12513987223307,44.12364069620768,41.28104019165039
LIT,2025-01-27T00:00:00.000000,40.40990447998047,36.67164738972981,44.491336822509766,41.28104019165039
LIT,2025-01-28T00:00:00.000000,40.556983947753906,36.32846323649088,44.295230865478516,41.28104019165039
ALB,2024-12-31T00:00:00.000000,84.82756042480469,82.79112497965495,87.72904459635416,84.18040466308594
ALB,2025-01-01T00:00:00.000000,85.58445739746094,82.46673583984375,89.17076873779295,84.18040466308594
ALB,2025-01-02T00:00:00.000000,86.28730010986328,81.42148590087889,91.00896453857422,84.18040466308594
ALB,2025-01-03T00:00:00.000000,86.34135437011719,80.34019215901692,92.01817067464192,84.18040466308594
ALB,2025-01-06T00:00:00.000000,85.58445739746094,79.18681335449219,93.06342061360677,84.18040466308594
ALB,2025-01-07T00:00:00.000000,85.63853454589844,78.71825154622395,93.38780975341797,84.18040466308594
ALB,2025-01-08T00:00:00.000000,85.58447265625,77.27652486165364,94.21680450439453,84.18040466308594
ALB,2025-01-09T00:00:00.000000,85.31414794921875,75.87083943684895,94.64932505289714,84.18040466308594
ALB,2025-01-10T00:00:00.000000,85.58447265625,74.17681121826172,95.44227600097656,84.18040466308594
ALB,2025-01-13T00:00:00.000000,85.4763412475586,73.85242462158203,95.3701909383138,84.18040466308594
ALB,2025-01-14T00:00:00.000000,85.20601654052734,74.21285502115886,95.73062133789062,84.18040466308594
ALB,2025-01-15T00:00:00.000000,85.09788513183594,74.9337158203125,96.73983001708984,84.18040466308594
ALB,2025-01-16T00:00:00.000000,85.09788513183594,75.97896830240884,98.14551289876302,84.18040466308594
ALB,2025-01-17T00:00:00.000000,84.77349090576172,76.62774912516277,97.49673461914062,84.18040466308594
ALB,2025-01-20T00:00:00.000000,85.26007080078125,76.51962025960286,96.2712656656901,84.18040466308594
ALB,2025-01-21T00:00:00.000000,84.34098815917969,76.4475351969401,95.37018839518228,84.18040466308594
ALB,2025-01-22T00:00:00.000000,83.4759521484375,76.15918986002605,96.1270980834961,84.18040466308594
ALB,2025-01-23T00:00:00.000000,84.0166015625,75.54645792643228,96.19918568929036,84.18040466308594
ALB,2025-01-24T00:00:00.000000,84.28691101074219,73.85242716471353,95.94688161214192,84.18040466308594
ALB,2025-01-27T00:00:00.000000,84.55724334716797,72.05026753743489,97.02817535400389,84.18040466308594
ALB,2025-01-28T00:00:00.000000,84.55724334716797,71.2933603922526,98.68616231282552,84.18040466308594
FCX,2024-12-31T00:00:00.000000,37.872947692871094,36.668009440104164,38.56790669759115,37.49348068237305
FCX,2025-01-01T00:00:00.000000,37.58796310424805,36.35802586873372,38.647902170817055,37.49348068237305
FCX,2025-01-02T00:00:00.000000,37.31797790527344,35.738058725992836,38.917887369791664,37.49348068237305
FCX,2025-01-03T00:00:00.000000,36.882999420166016,35.10809326171875,38.637902577718094,37.49348068237305
FCX,2025-01-06T00:00:00.000000,36.853004455566406,34.76811218261719,38.84789148966471,37.49348068237305
FCX,2025-01-07T00:00:00.000000,36.86800003051758,34.26813888549805,38.67790095011393,37.49348068237305
FCX,2025-01-08T00:00:00.000000,36.643009185791016,33.2981923421224,38.85789108276367,37.49348068237305
FCX,2025-01-09T00:00:00.000000,36.7180061340332,32.56823094685872,38.877890268961586,37.49348068237305
FCX,2025-01-10T00:00:00.000000,36.53801727294922,32.55823135375976,38.907887776692704,37.49348068237305
FCX,2025-01-13T00:00:00.000000,36.523014068603516,33.038204193115234,38.807893117268875,37.49348068237305
FCX,2025-01-14T00:00:00.000000,36.40303039550781,33.35818735758463,38.77789433797201,37.49348068237305
FCX,2025-01-15T00:00:00.000000,36.373023986816406,33.71816889444987,39.12787628173828,37.49348068237305
FCX,2025-01-16T00:00:00.000000,36.83800506591797,34.158145904541016,39.44785944620768,37.49348068237305
FCX,2025-01-17T00:00:00.000000,36.613014221191406,34.24814097086588,40.04782613118489,37.49348068237305
FCX,2025-01-20T00:00:00.000000,36.65800857543945,33.68817011515299,40.65779240926107,37.49348068237305
FCX,2025-01-21T00:00:00.000000,36.373023986816406,33.14819844563802,41.047770182291664,37.49348068237305
FCX,2025-01-22T00:00:00.000000,36.20803451538086,32.328243255615234,41.14776484171549,37.49348068237305
FCX,2025-01-23T00:00:00.000000,35.78805923461914,32.068258921305336,40.86778132120768,37.49348068237305
FCX,2025-01-24T00:00:00.000000,35.92304611206055,32.128256479899086,40.79778544108073,37.49348068237305
FCX,2025-01-27T00:00:00.000000,36.28302764892578,32.70822397867838,40.53779983520508,37.49348068237305
FCX,2025-01-28T00:00:00.000000,36.80800247192383,33.088202158610024,40.44780349731445,37.49348068237305
NVDA,2024-12-31T00:00:00.000000,137.18045043945312,133.26149495442706,140.35374450683594,137.4449462890625
NVDA,2025-01-01T00:00:00.000000,136.37411499023438,131.59681193033853,140.54448954264322,137.4449462890625
NVDA,2025-01-02T00:00:00.000000,135.64581298828125,129.62000020345053,140.75257364908853,137.4449462890625
NVDA,2025-01-03T00:00:00.000000,135.48974609375,129.27318827311197,142.4866180419922,137.4449462890625
NVDA,2025-01-06T00:00:00.000000,136.3480987548828,128.1113739013672,144.23800150553384,137.4449462890625
NVDA,2025-01-07T00:00:00.000000,135.98394775390625,127.03626251220702,145.7639668782552,137.4449462890625
NVDA,2025-01-08T00:00:00.000000,135.54177856445312,124.97274525960286,146.83907572428384,137.4449462890625
