date,regime_label,regime_prob,method
2011-02-24,Normal,1.0378630159404023e-9,HMM
2011-02-25,Normal,9.580014868244572e-10,HMM
2011-02-28,Normal,9.5893128461179e-10,HMM
2011-03-01,Normal,9.586733580598177e-10,HMM
2011-03-02,Normal,9.094134005742857e-10,HMM
2011-03-03,Normal,8.266055564955498e-10,HMM
2011-03-04,Normal,8.248609919972733e-10,HMM
2011-03-07,Normal,8.255683038970097e-10,HMM
2011-03-08,Normal,7.301427389731658e-10,HMM
2011-03-09,Normal,1.7286048267234328e-6,HMM
2011-03-10,Crisis,1.0,HMM
2011-03-11,Crisis,1.0,HMM
2011-03-14,Crisis,1.0,HMM
2011-03-15,Crisis,1.0,HMM
2011-03-16,Crisis,1.0,HMM
2011-03-17,Crisis,1.0,HMM
2011-03-18,Crisis,1.0,HMM
2011-03-21,Crisis,1.0,HMM
2011-03-22,Crisis,1.0,HMM
2011-03-23,Crisis,1.0,HMM
2011-03-24,Crisis,1.0,HMM
2011-03-25,Normal,2.5873675669452243e-6,HMM
2011-03-28,Normal,1.1274728108038369e-9,HMM
2011-03-29,Normal,1.1210629865757735e-9,HMM
2011-03-30,Normal,1.1298728290355162e-9,HMM
2011-03-31,Normal,1.254875110821436e-9,HMM
2011-04-01,Normal,1.3095182641921647e-9,HMM
2011-04-04,Normal,1.3063947199656182e-9,HMM
2011-04-05,Normal,1.2330984547748785e-9,HMM
2011-04-06,Normal,1.5498771160707194e-9,HMM
2011-04-07,Normal,1.6610932023991858e-9,HMM
2011-04-08,Normal,1.5694867250043157e-9,HMM
2011-04-11,Normal,1.5720881587930808e-9,HMM
2011-04-12,Normal,1.2132993258635227e-9,HMM
2011-04-13,Normal,1.2764215164088793e-9,HMM
2011-04-14,Normal,1.2796264684136639e-9,HMM
2011-04-15,Normal,1.368938681434729e-9,HMM
2011-04-18,Normal,1.2364735996815085e-9,HMM
2011-04-19,Normal,1.2336121984421988e-9,HMM
2011-04-20,Normal,1.1641643611799146e-9,HMM
2011-04-21,Normal,1.154746851788976e-9,HMM
2011-04-26,Normal,1.1573469184991123e-9,HMM
2011-04-27,Normal,1.1591548639239354e-9,HMM
2011-04-28,Normal,1.1462813233307953e-9,HMM
2011-05-02,Normal,1.1527030920026132e-9,HMM
2011-05-03,Normal,1.0671368258769977e-9,HMM
2011-05-04,Normal,1.013813802959312e-9,HMM
2011-05-05,Normal,4.848397231681554e-10,HMM
2011-05-06,Normal,4.782294072439382e-10,HMM
