ticker,fold,test_start,test_end,oos_accuracy,oos_precision,oos_recall,n_test
REMX,0,2013-11-30T00:00:00.000,2014-02-28T00:00:00.000,0.6557377049180327,0.6666666666666666,0.25,61
REMX,1,2014-02-28T00:00:00.000,2014-05-28T00:00:00.000,0.3387096774193548,0.10526315789473684,0.07692307692307693,62
REMX,2,2014-05-28T00:00:00.000,2014-08-28T00:00:00.000,0.15151515151515152,0.15384615384615385,0.10526315789473684,66
REMX,3,2014-08-28T00:00:00.000,2014-11-28T00:00:00.000,0.4153846153846154,0.0,0.0,65
REMX,4,2014-11-28T00:00:00.000,2015-02-28T00:00:00.000,0.5161290322580645,0.0,0.0,62
REMX,5,2015-02-28T00:00:00.000,2015-05-28T00:00:00.000,0.8548387096774194,1.0,0.625,62
REMX,6,2015-05-28T00:00:00.000,2015-08-28T00:00:00.000,0.5757575757575758,0.034482758620689655,1.0,66
REMX,7,2015-08-28T00:00:00.000,2015-11-28T00:00:00.000,0.6666666666666666,0.2727272727272727,0.5454545454545454,63
REMX,8,2015-11-28T00:00:00.000,2016-02-28T00:00:00.000,0.5245901639344263,1.0,0.06451612903225806,61
REMX,9,2016-02-28T00:00:00.000,2016-05-28T00:00:00.000,0.421875,0.9333333333333333,0.28,64
REMX,10,2016-05-28T00:00:00.000,2016-08-28T00:00:00.000,0.5238095238095238,0.4,0.2222222222222222,63
REMX,11,2016-08-28T00:00:00.000,2016-11-28T00:00:00.000,0.359375,0.4,0.2777777777777778,64
REMX,12,2016-11-28T00:00:00.000,2017-02-28T00:00:00.000,0.4838709677419355,0.6538461538461539,0.425,62
REMX,13,2017-02-28T00:00:00.000,2017-05-28T00:00:00.000,0.38095238095238093,0.2,0.3888888888888889,63
REMX,14,2017-05-28T00:00:00.000,2017-08-28T00:00:00.000,0.046875,1.0,0.016129032258064516,64
REMX,15,2017-08-28T00:00:00.000,2017-11-28T00:00:00.000,0.36923076923076925,1.0,0.26785714285714285,65
REMX,16,2017-11-28T00:00:00.000,2018-02-28T00:00:00.000,0.5161290322580645,0.5652173913043478,0.3939393939393939,62
REMX,17,2018-02-28T00:00:00.000,2018-05-28T00:00:00.000,0.6666666666666666,0.0,0.0,60
REMX,18,2018-05-28T00:00:00.000,2018-08-28T00:00:00.000,0.9230769230769231,0.0,0.0,65
REMX,19,2018-08-28T00:00:00.000,2018-11-28T00:00:00.000,0.6461538461538462,0.6666666666666666,0.16,65
REMX,20,2018-11-28T00:00:00.000,2019-02-28T00:00:00.000,0.5423728813559322,1.0,0.20588235294117646,59
REMX,21,2019-02-28T00:00:00.000,2019-05-28T00:00:00.000,0.6129032258064516,0.9090909090909091,0.30303030303030304,62
REMX,22,2019-05-28T00:00:00.000,2019-08-28T00:00:00.000,0.6818181818181818,0.0,0.0,66
REMX,23,2019-08-28T00:00:00.000,2019-11-28T00:00:00.000,0.5538461538461539,1.0,0.14705882352941177,65
REMX,24,2019-11-28T00:00:00.000,2020-02-28T00:00:00.000,0.6612903225806451,0.16666666666666666,0.058823529411764705,62
REMX,25,2020-02-28T00:00:00.000,2020-05-28T00:00:00.000,0.4918032786885246,0.9166666666666666,0.43137254901960786,61
REMX,26,2020-05-28T00:00:00.000,2020-08-28T00:00:00.000,0.19696969696969696,0.3333333333333333,0.2926829268292683,66
REMX,27,2020-08-28T00:00:00.000,2020-11-28T00:00:00.000,0.6031746031746031,0.8947368421052632,0.6181818181818182,63
REMX,28,2020-11-28T00:00:00.000,2021-02-28T00:00:00.000,0.26229508196721313,0.4666666666666667,0.32558139534883723,61
REMX,29,2021-02-28T00:00:00.000,2021-05-28T00:00:00.000,0.3387096774193548,0.6666666666666666,0.047619047619047616,62
REMX,30,2021-05-28T00:00:00.000,2021-08-28T00:00:00.000,0.390625,1.0,0.2909090909090909,64
REMX,31,2021-08-28T00:00:00.000,2021-11-28T00:00:00.000,0.7741935483870968,0.7209302325581395,0.9393939393939394,62
REMX,32,2021-11-28T00:00:00.000,2022-02-28T00:00:00.000,0.7213114754098361,0.7307692307692307,0.6551724137931034,61
REMX,33,2022-02-28T00:00:00.000,2022-05-28T00:00:00.000,0.532258064516129,0.5,0.8620689655172413,62
