date,series_id,value
2011-03-18,OIL_BRENT,114.13
2011-03-21,OIL_BRENT,114.92
2011-03-22,OIL_BRENT,115.63
2011-03-23,OIL_BRENT,115.65
2011-03-24,OIL_BRENT,115.41
2011-03-25,OIL_BRENT,115.45
2011-03-28,OIL_BRENT,115.95
2011-03-29,OIL_BRENT,115.58
2011-03-30,OIL_BRENT,115.35
2011-03-31,OIL_BRENT,116.94
2011-04-01,OIL_BRENT,118.63
2011-04-04,OIL_BRENT,120.07
2011-04-05,OIL_BRENT,122.87
2011-04-06,OIL_BRENT,123.01
2011-04-07,OIL_BRENT,122.9
2011-04-08,OIL_BRENT,126.3
2011-04-11,OIL_BRENT,126.46
2011-04-12,OIL_BRENT,121.33
2011-04-13,OIL_BRENT,122.7
2011-04-14,OIL_BRENT,122.74
2011-04-15,OIL_BRENT,124.63
2011-04-18,OIL_BRENT,121.69
2011-04-19,OIL_BRENT,121.35
2011-04-20,OIL_BRENT,124.26
2011-04-21,OIL_BRENT,123.64
2011-04-26,OIL_BRENT,124.55
2011-04-27,OIL_BRENT,124.94
2011-04-28,OIL_BRENT,126.59
2011-05-02,OIL_BRENT,126.64
2011-05-03,OIL_BRENT,124.01
2011-05-04,OIL_BRENT,121.55
2011-05-05,OIL_BRENT,111.93
2011-05-06,OIL_BRENT,113.69
2011-05-09,OIL_BRENT,113.21
2011-05-10,OIL_BRENT,117.82
2011-05-11,OIL_BRENT,115.66
2011-05-12,OIL_BRENT,112.87
2011-05-13,OIL_BRENT,113.08
2011-05-16,OIL_BRENT,113.72
2011-05-17,OIL_BRENT,109.39
2011-05-18,OIL_BRENT,112.54
2011-05-19,OIL_BRENT,113.2
2011-05-20,OIL_BRENT,111.25
2011-05-23,OIL_BRENT,110.13
2011-05-24,OIL_BRENT,112.52
2011-05-25,OIL_BRENT,114.47
2011-05-26,OIL_BRENT,115.06
2011-05-27,OIL_BRENT,114.85
2011-05-31,OIL_BRENT,117.18
2011-06-01,OIL_BRENT,116.15
2011-06-02,OIL_BRENT,114.3
2011-06-03,OIL_BRENT,115.09
2011-06-06,OIL_BRENT,115.4
2011-06-07,OIL_BRENT,116.14
2011-06-08,OIL_BRENT,118.43
2011-06-09,OIL_BRENT,119.95
2011-06-10,OIL_BRENT,118.71
2011-06-13,OIL_BRENT,120.49
2011-06-14,OIL_BRENT,120.35
2011-06-15,OIL_BRENT,114.67
2011-06-16,OIL_BRENT,114.69
2011-06-17,OIL_BRENT,113.74
2011-06-20,OIL_BRENT,112.21
2011-06-21,OIL_BRENT,112.02
2011-06-22,OIL_BRENT,113.59
2011-06-23,OIL_BRENT,108.27
2011-06-24,OIL_BRENT,104.79
2011-06-27,OIL_BRENT,104.57
2011-06-28,OIL_BRENT,107.57
2011-06-29,OIL_BRENT,111.49
2011-06-30,OIL_BRENT,111.71
2011-07-01,OIL_BRENT,109.82
2011-07-05,OIL_BRENT,113.21
2011-07-06,OIL_BRENT,113.55
2011-07-07,OIL_BRENT,117.4
2011-07-08,OIL_BRENT,117.4
2011-07-11,OIL_BRENT,117.35
2011-07-12,OIL_BRENT,117.36
2011-07-13,OIL_BRENT,118.46
2011-07-14,OIL_BRENT,117.38
2011-07-15,OIL_BRENT,118.06
